County ,Fire Name ,Start Date,End Date,Fire Size in Acre,Type of Terrian,Cause,Structures Damaged/Destroyed,Fire Fatalities ,Civil Fatalities 
RIVERSIDE,LOST HORSE,5/24/09,6/2/09,450,G,"MISCELLANEOUS 
HUMAN",0,0,0
MARIPOSA,GROUSE,5/30/09,8/12/09,"3,007",T,LIGHTNING,0,0,0
TUOLUMNE,HARDEN,6/8/09,8/9/09,"1,654",T,LIGHTNING,0,0,0
TULARE,SHOTGUN,6/17/09,7/11/09,900,T,LIGHTNING,0,0,0
KERN,PARKWAY,6/22/09,6/22/09,690,G,EQUIPMENT USE,0,0,0
TULARE,LION,6/30/09,8/21/09,"2,577",TB,LIGHTNING,0,0,0
TULARE,GRANITE,6/30/09,8/21/09,"1,417",TB,LIGHTNING,0,0,0
TRINITY/HUMBOLDT,REDSPOT,7/1/09,7/24/09,"1,120",T,LIGHTNING,0,0,0
TRINITY/HUMBOLDT,BACKBONE,7/7/09,7/24/09,"5,065",T,LIGHTNING,0,1,0
SAN DIEGO,YANKEE,7/11/09,7/14/09,"2,200",BG,UNIDENTIFIED,0,0,0
VENTURA,SULPHUR,7/11/09,7/13/09,343,BG,MISCELLANEOUS,0,0,0
LOS ANGELES,OSITO,7/13/09,7/15/09,304,B,EQUIPMENT USE,0,0,0
INYO,FORK,7/18/09,7/27/09,"3,268",T,LIGHTNING,0,0,0
SISKIYOU,TENNANT,7/19/09,7/27/09,"3,226",TB,EQUIPMENT USE,3,0,0
TUOLUMNE,KNIGHT,7/26/09,8/11/09,"6,130",TB,MISCELLANEOUS,0,0,0
TUOLUMNE,WILDCAT,7/29/09,8/31/09,"1,255",T,LIGHTNING,0,0,0
LASSEN,"DODGE COMPLEX                  
(SIX FIRES)",8/1/09,8/3/09,"1,600",BG,LIGHTNING,0,0,0
MONTEREY,PONDEROSA,8/1/09,8/7/09,458,B,MISCELLANEOUS,0,0,0
SHASTA,SUGAR LOAF,8/1/09,8/12/09,"9,356",T,LIGHTNING,0,0,0
SHASTA,BROWN (H-31),8/2/09,8/12/09,"1,865",T,LIGHTNING,0,0,0
SHASTA,FAIRFIELD,8/3/09,9/30/09,"1,664",T,LIGHTNING,0,0,0
SANTA BARBARA,LA BREA,8/8/09,8/23/09,"91,622",T,CAMPFIRE,2,0,0
PLUMAS,ELEPHANT,8/16/09,8/31/09,445,T,MISCELLANEOUS,0,0,0
Riverside ,PEDLEY ,5/12/10,5/13/10,850,G ,Equipment ,0,0,0
Kern ,METZEN ,5/15/10,5/15/10,360,G ,Other ,1,0,0
Riverside ,MCKINLEY ,5/20/10,5/22/10,"1,000",G ,Equipment ,0,0,0
Tulare ,BALE ,6/4/10,6/4/10,485,G ,Equipment ,0,0,0
Merced ,CHILDS ,6/5/10,6/5/10,462,G ,Human ,0,0,0
Fresno ,WHITES ,6/7/10,6/7/10,350,G ,Equipment ,0,0,0
Stanislaus ,STUHR ,6/8/10,6/10/10,586,G ,Equipment ,0,0,0
Merced ,ROBINSON ,6/11/10,6/12/10,"1,600",G ,Undetermined ,0,0,0
Alameda ,DIABLO ,6/18/10,6/19/10,475,G ,Undetermined ,1,0,0
Butte ,PALERMO ,7/4/10,7/5/10,900,BG ,Misuse of Fire ,0,0,0
Santa Barbara ,166,7/12/10,7/12/10,350,G ,Undetermined ,1,0,0
San Diego,ALISO,7/13/10,7/15/10,"3,225",BG,Miscellaneous,0,0,0
Riverside ,SKINNER ,7/15/10,7/18/10,503,G ,Lightning ,0,0,0
Riverside ,CACTUS ,7/15/10,7/18/10,720,G ,Lightning ,1,0,0
Kern,BODFISH,7/15/10,7/18/10,552,BG,Lightning,0,0,0
Kern,SAND 2,7/16/10,7/22/10,"1,254",B,Lightning,0,0,0
Fresno,SHEEP,7/16/10,10/25/10,"9,020",T,Lightning,0,0,0
Kern,INDIAN,7/18/10,7/24/10,"1,822",G,Lightning,0,0,0
Mono,PATATO,7/24/10,7/27/10,686,B,Lightning,0,0,0
Tuolumne,SLOPE,7/25/10,1/23/10,"1,711",T,Lightning,0,0,0
Mono,MONO,7/26/10,7/29/10,"1,205",B,Lightning,0,0,0
Kern,BULL,7/26/10,8/10/10,"16,442",B,Miscellaneous,14,0,0
Kern ,WEST ,7/27/10,8/6/10,"1,658",BG ,Equipment ,63,0,0
Lassen,MCDONALD,7/27/10,8/10/10,"9,408",BG,Lightning,0,0,0
Los Angeles ,CROWN ,7/29/10,8/3/10,"14,000",BG ,Undetermined ,16,0,0
Los Angeles,BRIGGS,7/29/10,7/30/10,510,B,Undetermined,0,0,0
Siskiyou,DUTCH,7/31/10,8/4/10,371,TG,Undetermined,0,0,0
Plumas,BAR,7/31/10,8/10/10,"1,040",T,Undetermined,0,0,0
Madera,BUCKHORN,8/7/10,10/30/10,466,T,Lightning,0,0,0
Tuolumne,VERNON,8/8/10,10/31/10,909,T,Lightning,0,0,0
Tuolumne,PINECREST,8/9/10,10/15/10,799,T,Lightning,0,0,0
Tulare ,STOKES 2 ,8/17/10,8/18/10,879,G ,Other ,0,0,0
Placer ,BASELINE ,8/20/10,8/21/10,434,G ,Undetermined ,0,0,0
San Diego ,MONTE ,8/21/10,8/23/10,"2,000",BGT ,Misuse of Fire ,0,0,0
Ssan Luis Obispo ,POZO ,8/21/10,8/22/10,"1,200",BG ,Undetermined ,0,0,0
Lake ,INDIAN ,8/24/10,8/26/10,450,B ,Undetermined ,0,0,0
Kern ,POST ,8/25/10,8/28/10,"1,312",G ,Undetermined ,0,0,0
Nevada ,BULLARDS ,8/27/10,9/13/10,"1,500",G ,Other ,0,0,0
Yuba,BULLARD,8/27/10,8/31/10,"1,307",T,Human,0,0,0
San Diego ,COWBOY ,9/2/10,9/7/10,827,B ,Undetermined ,0,0,0
Kern,CANYON,9/12/10,9/19/10,"9,820",GB,Undetermined,1,0,0
Santa Barbara,BEAR CREEK,10/28/10,10/30/10,"1,253",T,Powerline,0,0,0
INYO,WINTERTON,3/9/11,3/9/11,395,BG,DEBRIS,0,0,0
INYO,CENTER,3/18/11,3/23/11,850,G,UNDETERMINED,19,0,0
MONTEREY,METZ,5/12/11,5/14/11,832,G,OTHER,0,0,0
MONTEREY,CATTLEMAN,5/29/11,5/30/11,382,G,OTHER,0,0,0
KERN,IKEA,6/12/11,6/12/11,640,G,OTHER,0,0,0
KERN,ANTELOPE,6/19/11,6/21/11,"5,200",BG,UNDETERMINED,2,0,0
KERN,QUINN,6/21/11,6/22/11,"3,154",G,UNDETERMINED,0,0,0
STANISLAUS,EASTMAN,6/24/11,6/24/11,330,G,OTHER,0,0,0
"SAN LUIS 
OBISPO",HIGHWAY,6/24/11,6/24/11,387,G,EQUIPMENT,0,0,0
MERCED,REST,6/26/11,6/27/11,575,G,OTHER,0,0,0
TULARE,STAGE,6/27/11,7/2/11,"1,213",T,EQUIPMENT,0,0,0
HUMBOLDT,SPANISH,7/1/11,7/4/11,498,TG,EQUIPMENT,0,0,0
SAN JOAQUIN,CHRISMAN,7/5/11,7/6/11,400,G,EQUIPMENT,0,0,0
ORANGE,"CARBON  
CANYON",7/7/11,7/8/11,508,B,UNDETERMINED,0,0,0
TULARE,GRANITE,7/9/11,7/12/11,780,G,UNDETERMINED,7,0,0
YUBA,KRISTA,7/9/11,7/10/11,360,BG,EQUIPMENT,0,0,0
ALAMEDA,FLYNN,7/14/11,7/14/11,500,G,EQUIPMENT,0,0,0
ALAMEDA,FLYNN,7/21/11,7/22/11,545,G,ARSON,0,0,0
SAN DIEGO,EAGLE,7/21/11,7/29/11,"14,100",TB,ARSON,0,0,0
MERCED,ROMERO,7/23/11,7/23/11,489,G,UNDETERMINED,0,0,0
MENDOCINO,PASS,8/3/11,8/7/11,616,TG,EQUIPMENT,0,0,0
